,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
388,CH:0538.01,2023-06-12T18:24:00.000000Z,900.0,60.0,0.0,103.900002,87.0,
2164,CH:0538.01,2023-06-12T18:25:00.000000Z,600.0,0.0,0.0,102.5,,
3940,CH:0538.01,2023-06-12T18:26:00.000000Z,600.0,60.0,0.0,99.0,86.0,
5716,CH:0538.01,2023-06-12T18:27:00.000000Z,960.0,0.0,0.0,100.099998,,
7492,CH:0538.01,2023-06-12T18:28:00.000000Z,540.0,0.0,0.0,101.300003,,
9268,CH:0538.01,2023-06-12T18:29:00.000000Z,840.0,60.0,0.0,95.0,73.0,
11044,CH:0538.01,2023-06-12T18:30:00.000000Z,660.0,60.0,0.0,105.300003,87.0,
12820,CH:0538.01,2023-06-12T18:31:00.000000Z,540.0,0.0,0.0,95.0999985,,
14596,CH:0538.01,2023-06-12T18:32:00.000000Z,840.0,60.0,0.0,95.5999985,87.0,
16372,CH:0538.01,2023-06-12T18:33:00.000000Z,900.0,0.0,0.0,96.4000015,,
18148,CH:0538.01,2023-06-12T18:34:00.000000Z,840.0,60.0,0.0,96.9000015,92.0,
19924,CH:0538.01,2023-06-12T18:35:00.000000Z,1020.0,0.0,0.0,98.0,,
21700,CH:0538.01,2023-06-12T18:36:00.000000Z,1140.0,0.0,0.0,96.0999985,,
23476,CH:0538.01,2023-06-12T18:37:00.000000Z,600.0,240.0,0.0,95.6999969,87.5,
25252,CH:0538.01,2023-06-12T18:38:00.000000Z,780.0,60.0,0.0,100.099998,79.0,
27028,CH:0538.01,2023-06-12T18:39:00.000000Z,600.0,0.0,0.0,100.699997,,
28804,CH:0538.01,2023-06-12T18:40:00.000000Z,900.0,60.0,0.0,96.8000031,89.0,
30580,CH:0538.01,2023-06-12T18:41:00.000000Z,600.0,0.0,0.0,100.800003,,
32356,CH:0538.01,2023-06-12T18:42:00.000000Z,600.0,0.0,0.0,95.1999969,,
34132,CH:0538.01,2023-06-12T18:43:00.000000Z,900.0,120.0,0.0,98.3000031,84.0,
35908,CH:0538.01,2023-06-12T18:44:00.000000Z,900.0,0.0,0.0,100.099998,,
37684,CH:0538.01,2023-06-12T18:45:00.000000Z,780.0,60.0,0.0,98.3000031,90.0,
39460,CH:0538.01,2023-06-12T18:46:00.000000Z,720.0,0.0,0.0,91.5,,
41236,CH:0538.01,2023-06-12T18:47:00.000000Z,540.0,0.0,0.0,102.800003,,
43012,CH:0538.01,2023-06-12T18:48:00.000000Z,840.0,0.0,0.0,100.099998,,
44788,CH:0538.01,2023-06-12T18:49:00.000000Z,420.0,60.0,0.0,93.0999985,91.0,
46564,CH:0538.01,2023-06-12T18:50:00.000000Z,600.0,0.0,0.0,103.400002,,
48340,CH:0538.01,2023-06-12T18:51:00.000000Z,720.0,0.0,0.0,99.8000031,,
50116,CH:0538.01,2023-06-12T18:52:00.000000Z,300.0,0.0,0.0,94.4000015,,
51892,CH:0538.01,2023-06-12T18:53:00.000000Z,900.0,0.0,0.0,101.5,,
53668,CH:0538.01,2023-06-12T18:54:00.000000Z,660.0,60.0,0.0,96.5,88.0,
