,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
278,CH:0366.01,2023-06-12T18:24:00.000000Z,0.0,0.0,0.0,,,
2054,CH:0366.01,2023-06-12T18:25:00.000000Z,0.0,0.0,0.0,,,
3830,CH:0366.01,2023-06-12T18:26:00.000000Z,0.0,0.0,0.0,,,
5606,CH:0366.01,2023-06-12T18:27:00.000000Z,0.0,0.0,0.0,,,
7382,CH:0366.01,2023-06-12T18:28:00.000000Z,0.0,0.0,0.0,,,
9158,CH:0366.01,2023-06-12T18:29:00.000000Z,0.0,0.0,0.0,,,
10934,CH:0366.01,2023-06-12T18:30:00.000000Z,0.0,0.0,0.0,,,
12710,CH:0366.01,2023-06-12T18:31:00.000000Z,0.0,0.0,0.0,,,
14486,CH:0366.01,2023-06-12T18:32:00.000000Z,0.0,0.0,0.0,,,
16262,CH:0366.01,2023-06-12T18:33:00.000000Z,0.0,0.0,0.0,,,
18038,CH:0366.01,2023-06-12T18:34:00.000000Z,0.0,0.0,0.0,,,
19814,CH:0366.01,2023-06-12T18:35:00.000000Z,0.0,0.0,0.0,,,
21590,CH:0366.01,2023-06-12T18:36:00.000000Z,0.0,0.0,0.0,,,
23366,CH:0366.01,2023-06-12T18:37:00.000000Z,0.0,0.0,0.0,,,
25142,CH:0366.01,2023-06-12T18:38:00.000000Z,0.0,0.0,0.0,,,
26918,CH:0366.01,2023-06-12T18:39:00.000000Z,0.0,0.0,0.0,,,
28694,CH:0366.01,2023-06-12T18:40:00.000000Z,0.0,0.0,0.0,,,
30470,CH:0366.01,2023-06-12T18:41:00.000000Z,0.0,0.0,0.0,,,
32246,CH:0366.01,2023-06-12T18:42:00.000000Z,0.0,0.0,0.0,,,
34022,CH:0366.01,2023-06-12T18:43:00.000000Z,0.0,0.0,0.0,,,
35798,CH:0366.01,2023-06-12T18:44:00.000000Z,0.0,0.0,0.0,,,
37574,CH:0366.01,2023-06-12T18:45:00.000000Z,0.0,0.0,0.0,,,
39350,CH:0366.01,2023-06-12T18:46:00.000000Z,0.0,0.0,0.0,,,
41126,CH:0366.01,2023-06-12T18:47:00.000000Z,0.0,0.0,0.0,,,
42902,CH:0366.01,2023-06-12T18:48:00.000000Z,0.0,0.0,0.0,,,
44678,CH:0366.01,2023-06-12T18:49:00.000000Z,0.0,0.0,0.0,,,
46454,CH:0366.01,2023-06-12T18:50:00.000000Z,0.0,0.0,0.0,,,
48230,CH:0366.01,2023-06-12T18:51:00.000000Z,0.0,0.0,0.0,,,
50006,CH:0366.01,2023-06-12T18:52:00.000000Z,0.0,0.0,0.0,,,
51782,CH:0366.01,2023-06-12T18:53:00.000000Z,0.0,0.0,0.0,,,
53558,CH:0366.01,2023-06-12T18:54:00.000000Z,0.0,0.0,0.0,,,
55334,CH:0366.01,2023-06-12T18:55:00.000000Z,0.0,0.0,0.0,,,
57110,CH:0366.01,2023-06-12T18:56:00.000000Z,0.0,0.0,0.0,,,
58886,CH:0366.01,2023-06-12T18:57:00.000000Z,0.0,0.0,0.0,,,
60662,CH:0366.01,2023-06-12T18:58:00.000000Z,0.0,0.0,0.0,,,
62438,CH:0366.01,2023-06-12T18:59:00.000000Z,0.0,0.0,0.0,,,
64214,CH:0366.01,2023-06-12T19:00:00.000000Z,0.0,0.0,0.0,,,
65990,CH:0366.01,2023-06-12T19:01:00.000000Z,0.0,0.0,0.0,,,
67766,CH:0366.01,2023-06-12T19:02:00.000000Z,0.0,0.0,0.0,,,
69542,CH:0366.01,2023-06-12T19:03:00.000000Z,0.0,0.0,0.0,,,
71318,CH:0366.01,2023-06-12T19:04:00.000000Z,0.0,0.0,0.0,,,
73094,CH:0366.01,2023-06-12T19:05:00.000000Z,0.0,0.0,0.0,,,
74870,CH:0366.01,2023-06-12T19:06:00.000000Z,0.0,0.0,0.0,,,
76646,CH:0366.01,2023-06-12T19:07:00.000000Z,0.0,0.0,0.0,,,
78422,CH:0366.01,2023-06-12T19:08:00.000000Z,0.0,0.0,0.0,,,
80198,CH:0366.01,2023-06-12T19:09:00.000000Z,0.0,0.0,0.0,,,
81974,CH:0366.01,2023-06-12T19:10:00.000000Z,0.0,0.0,0.0,,,
83750,CH:0366.01,2023-06-12T19:11:00.000000Z,0.0,0.0,0.0,,,
85526,CH:0366.01,2023-06-12T19:12:00.000000Z,0.0,0.0,0.0,,,
87302,CH:0366.01,2023-06-12T19:13:00.000000Z,0.0,0.0,0.0,,,
89078,CH:0366.01,2023-06-12T19:14:00.000000Z,0.0,0.0,0.0,,,
90854,CH:0366.01,2023-06-12T19:15:00.000000Z,0.0,0.0,0.0,,,
92630,CH:0366.01,2023-06-12T19:16:00.000000Z,0.0,0.0,0.0,,,
94406,CH:0366.01,2023-06-12T19:17:00.000000Z,0.0,0.0,0.0,,,
96182,CH:0366.01,2023-06-12T19:18:00.000000Z,0.0,0.0,0.0,,,
97958,CH:0366.01,2023-06-12T19:19:00.000000Z,0.0,0.0,0.0,,,
99716,CH:0366.01,2023-06-12T19:22:00.000000Z,0.0,0.0,0.0,,,
101405,CH:0366.01,2023-06-12T19:23:00.000000Z,,,,,,
103181,CH:0366.01,2023-06-12T19:24:00.000000Z,,,,,,
104957,CH:0366.01,2023-06-12T19:25:00.000000Z,,,,,,
106732,CH:0366.01,2023-06-12T19:26:00.000000Z,,,,,,
108508,CH:0366.01,2023-06-12T19:27:00.000000Z,,,,,,
110136,CH:0366.01,2023-06-12T19:30:00.000000Z,,,,,,
111107,CH:0366.01,2023-06-12T19:31:00.000000Z,,,,,,
112619,CH:0366.01,2023-06-12T19:32:00.000000Z,,,,,,
114126,CH:0366.01,2023-06-12T19:34:00.000000Z,,,,,,
115621,CH:0366.01,2023-06-12T19:35:00.000000Z,,,,,,
117133,CH:0366.01,2023-06-12T19:36:00.000000Z,,,,,,
118645,CH:0366.01,2023-06-12T19:37:00.000000Z,,,,,,
120157,CH:0366.01,2023-06-12T19:38:00.000000Z,,,,,,
121669,CH:0366.01,2023-06-12T19:39:00.000000Z,,,,,,
123181,CH:0366.01,2023-06-12T19:40:00.000000Z,,,,,,
124693,CH:0366.01,2023-06-12T19:41:00.000000Z,,,,,,
126205,CH:0366.01,2023-06-12T19:42:00.000000Z,,,,,,
127717,CH:0366.01,2023-06-12T19:43:00.000000Z,,,,,,
129230,CH:0366.01,2023-06-12T19:46:00.000000Z,,,,,,
130741,CH:0366.01,2023-06-12T19:47:00.000000Z,0.0,0.0,0.0,,,
132253,CH:0366.01,2023-06-12T19:48:00.000000Z,0.0,0.0,0.0,,,
133765,CH:0366.01,2023-06-12T19:49:00.000000Z,0.0,0.0,0.0,,,
135277,CH:0366.01,2023-06-12T19:50:00.000000Z,0.0,0.0,0.0,,,
136789,CH:0366.01,2023-06-12T19:51:00.000000Z,0.0,0.0,0.0,,,
138301,CH:0366.01,2023-06-12T19:52:00.000000Z,0.0,0.0,0.0,,,
139813,CH:0366.01,2023-06-12T19:53:00.000000Z,0.0,0.0,0.0,,,
141325,CH:0366.01,2023-06-12T19:54:00.000000Z,0.0,0.0,0.0,,,
142837,CH:0366.01,2023-06-12T19:55:00.000000Z,0.0,0.0,0.0,,,
144349,CH:0366.01,2023-06-12T19:56:00.000000Z,0.0,0.0,0.0,,,
145861,CH:0366.01,2023-06-12T19:57:00.000000Z,0.0,0.0,0.0,,,
147373,CH:0366.01,2023-06-12T19:58:00.000000Z,0.0,0.0,0.0,,,
148885,CH:0366.01,2023-06-12T19:59:00.000000Z,0.0,0.0,0.0,,,
150397,CH:0366.01,2023-06-12T20:00:00.000000Z,0.0,0.0,0.0,,,
151909,CH:0366.01,2023-06-12T20:01:00.000000Z,0.0,0.0,0.0,,,
153421,CH:0366.01,2023-06-12T20:04:00.000000Z,0.0,0.0,0.0,,,
154933,CH:0366.01,2023-06-12T20:05:00.000000Z,0.0,0.0,0.0,,,
156445,CH:0366.01,2023-06-12T20:06:00.000000Z,0.0,0.0,0.0,,,
157957,CH:0366.01,2023-06-12T20:07:00.000000Z,0.0,0.0,0.0,,,
159469,CH:0366.01,2023-06-12T20:08:00.000000Z,0.0,0.0,0.0,,,
160981,CH:0366.01,2023-06-12T20:09:00.000000Z,0.0,0.0,0.0,,,
162541,CH:0366.01,2023-06-12T20:15:00.000000Z,0.0,0.0,0.0,,,
164317,CH:0366.01,2023-06-12T20:16:00.000000Z,0.0,0.0,0.0,,,
166093,CH:0366.01,2023-06-12T20:17:00.000000Z,0.0,0.0,0.0,,,
167869,CH:0366.01,2023-06-12T20:18:00.000000Z,0.0,0.0,0.0,,,
169645,CH:0366.01,2023-06-12T20:19:00.000000Z,0.0,0.0,0.0,,,
171421,CH:0366.01,2023-06-12T20:20:00.000000Z,0.0,0.0,0.0,,,
173197,CH:0366.01,2023-06-12T20:21:00.000000Z,0.0,0.0,0.0,,,
174973,CH:0366.01,2023-06-12T20:22:00.000000Z,0.0,0.0,0.0,,,
176749,CH:0366.01,2023-06-12T20:23:00.000000Z,0.0,0.0,0.0,,,
178525,CH:0366.01,2023-06-12T20:24:00.000000Z,0.0,0.0,0.0,,,
180301,CH:0366.01,2023-06-12T20:25:00.000000Z,0.0,0.0,0.0,,,
182077,CH:0366.01,2023-06-12T20:26:00.000000Z,0.0,0.0,0.0,,,
183853,CH:0366.01,2023-06-12T20:27:00.000000Z,0.0,0.0,0.0,,,
185629,CH:0366.01,2023-06-12T20:28:00.000000Z,0.0,0.0,0.0,,,
187405,CH:0366.01,2023-06-12T20:29:00.000000Z,0.0,0.0,0.0,,,
189181,CH:0366.01,2023-06-12T20:30:00.000000Z,0.0,0.0,0.0,,,
190957,CH:0366.01,2023-06-12T20:31:00.000000Z,0.0,0.0,0.0,,,
192733,CH:0366.01,2023-06-12T20:32:00.000000Z,0.0,0.0,0.0,,,
194509,CH:0366.01,2023-06-12T20:33:00.000000Z,0.0,0.0,0.0,,,
196285,CH:0366.01,2023-06-12T20:34:00.000000Z,0.0,0.0,0.0,,,
198061,CH:0366.01,2023-06-12T20:35:00.000000Z,0.0,0.0,0.0,,,
199837,CH:0366.01,2023-06-12T20:36:00.000000Z,0.0,0.0,0.0,,,
201613,CH:0366.01,2023-06-12T20:37:00.000000Z,0.0,0.0,0.0,,,
203389,CH:0366.01,2023-06-12T20:38:00.000000Z,0.0,0.0,0.0,,,
205165,CH:0366.01,2023-06-12T20:39:00.000000Z,0.0,0.0,0.0,,,
206941,CH:0366.01,2023-06-12T20:40:00.000000Z,0.0,0.0,0.0,,,
208717,CH:0366.01,2023-06-12T20:41:00.000000Z,0.0,0.0,0.0,,,
210493,CH:0366.01,2023-06-12T20:42:00.000000Z,0.0,0.0,0.0,,,
212269,CH:0366.01,2023-06-12T20:43:00.000000Z,0.0,0.0,0.0,,,
214045,CH:0366.01,2023-06-12T20:44:00.000000Z,0.0,0.0,0.0,,,
215821,CH:0366.01,2023-06-12T20:45:00.000000Z,0.0,0.0,0.0,,,
217597,CH:0366.01,2023-06-12T20:46:00.000000Z,0.0,0.0,0.0,,,
219373,CH:0366.01,2023-06-12T20:47:00.000000Z,0.0,0.0,0.0,,,
221149,CH:0366.01,2023-06-12T20:48:00.000000Z,0.0,0.0,0.0,,,
222925,CH:0366.01,2023-06-12T20:49:00.000000Z,0.0,0.0,0.0,,,
224701,CH:0366.01,2023-06-12T20:50:00.000000Z,0.0,0.0,0.0,,,
226477,CH:0366.01,2023-06-12T20:51:00.000000Z,0.0,0.0,0.0,,,
228253,CH:0366.01,2023-06-12T20:52:00.000000Z,0.0,0.0,0.0,,,
230029,CH:0366.01,2023-06-12T20:53:00.000000Z,0.0,0.0,0.0,,,
231805,CH:0366.01,2023-06-12T20:54:00.000000Z,0.0,0.0,0.0,,,
233581,CH:0366.01,2023-06-12T20:55:00.000000Z,0.0,0.0,0.0,,,
235357,CH:0366.01,2023-06-12T20:56:00.000000Z,0.0,0.0,0.0,,,
237133,CH:0366.01,2023-06-12T20:57:00.000000Z,0.0,0.0,0.0,,,
238909,CH:0366.01,2023-06-12T20:58:00.000000Z,0.0,0.0,0.0,,,
240685,CH:0366.01,2023-06-12T20:59:00.000000Z,0.0,0.0,0.0,,,
242461,CH:0366.01,2023-06-12T21:00:00.000000Z,0.0,0.0,0.0,,,
244237,CH:0366.01,2023-06-12T21:01:00.000000Z,0.0,0.0,0.0,,,
246013,CH:0366.01,2023-06-12T21:02:00.000000Z,0.0,0.0,0.0,,,
247789,CH:0366.01,2023-06-12T21:03:00.000000Z,0.0,0.0,0.0,,,
249565,CH:0366.01,2023-06-12T21:04:00.000000Z,0.0,0.0,0.0,,,
251341,CH:0366.01,2023-06-12T21:05:00.000000Z,0.0,0.0,0.0,,,
253117,CH:0366.01,2023-06-12T21:06:00.000000Z,0.0,0.0,0.0,,,
254893,CH:0366.01,2023-06-12T21:07:00.000000Z,0.0,0.0,0.0,,,
256669,CH:0366.01,2023-06-12T21:08:00.000000Z,0.0,0.0,0.0,,,
258445,CH:0366.01,2023-06-12T21:09:00.000000Z,0.0,0.0,0.0,,,
260221,CH:0366.01,2023-06-12T21:10:00.000000Z,0.0,0.0,0.0,,,
261997,CH:0366.01,2023-06-12T21:11:00.000000Z,0.0,0.0,0.0,,,
263773,CH:0366.01,2023-06-12T21:12:00.000000Z,0.0,0.0,0.0,,,
265549,CH:0366.01,2023-06-12T21:13:00.000000Z,0.0,0.0,0.0,,,
267325,CH:0366.01,2023-06-12T21:14:00.000000Z,0.0,0.0,0.0,,,
269101,CH:0366.01,2023-06-12T21:15:00.000000Z,0.0,0.0,0.0,,,
270877,CH:0366.01,2023-06-12T21:16:00.000000Z,0.0,0.0,0.0,,,
272653,CH:0366.01,2023-06-12T21:17:00.000000Z,0.0,0.0,0.0,,,
274429,CH:0366.01,2023-06-12T21:18:00.000000Z,0.0,0.0,0.0,,,
276205,CH:0366.01,2023-06-12T21:19:00.000000Z,0.0,0.0,0.0,,,
277981,CH:0366.01,2023-06-12T21:20:00.000000Z,0.0,0.0,0.0,,,
279757,CH:0366.01,2023-06-12T21:21:00.000000Z,0.0,0.0,0.0,,,
281533,CH:0366.01,2023-06-12T21:22:00.000000Z,0.0,0.0,0.0,,,
283309,CH:0366.01,2023-06-12T21:23:00.000000Z,0.0,0.0,0.0,,,
285085,CH:0366.01,2023-06-12T21:24:00.000000Z,0.0,0.0,0.0,,,
286861,CH:0366.01,2023-06-12T21:25:00.000000Z,0.0,0.0,0.0,,,
288637,CH:0366.01,2023-06-12T21:26:00.000000Z,0.0,0.0,0.0,,,
290413,CH:0366.01,2023-06-12T21:27:00.000000Z,0.0,0.0,0.0,,,
292189,CH:0366.01,2023-06-12T21:28:00.000000Z,0.0,0.0,0.0,,,
